#one address per line: name[real_name]|comma_separated_details|bibliographic_address|zip_or_other
#must be able to match name, will used bibliographic_address in the -2 position
#WARNING: consider these addresses "best guesses" (and possibly out of date)
#         when possible, they are contemporary rather than historical addresses

Abingdon Press | 201 Eighth Avenue South, P.O. B. 801 | Nashville, TN | 37202
Academic Press | | New York |
Addison-Wesley | | Reading, MA |
Addison-Wesley Publishing Company | | Reading, MA |
Addison-Wesley Publishing Company, Inc. | | Reading, MA |
Addison Wesley Longman | | Reading, MA |
Alfred A. Knopf | 1745 Broadway | New York, NY | 10019
Algonquin Books | P.O. Box 2225 | Chapel Hill, NC | 27515
Algora Publishing | 222 Riverside Drive, 16th Floor | New York, NY | 10025
Allworth Press | 10 East 23rd Street | New York, NY | 10010
Altamira Press | 4501 Forbes Boulevard, Suite 200 | Lanham, MD | 20706
American Enterprise Institute | | Washington, DC |
American Psychological Foundation | 750 First Street, N.E. | Washington, DC | 20002
AMS Press | Brooklyn Navy Yard, Building 292, Suite 417, 63 Flushing Avenue | Brooklyn, NY | 10205
Amsterdam University Press | Prinsengracht 747-751 | Amsterdam | 1017 JX
Apress | | Berkeley, CA |
Arizona Center for Medieval and Renaissance Studies | Arizona State University,  P.O. Box 872508 | Tempe, AZ | 85287
Ashgate Publishing Company | 101 Cherry Street, Suite 420 | Burlington, VT | 05401
Aspen Publishers | | New York |
Atlantic Monthly Press | 841 Broadway | New York, NY | 10003
Attic Press | Youngline Industrial Estate, Pouladuff Road, Togher | Cork, Ireland |
Ballinger | | Cambridge, MA |
Ballinger Publishing Co. | | Cambridge, MA |
Bank for International Settlements | | Basle |
Basic Books | | New York, NY |
Basic Books | 387 Park Avenue South | New York, NY | 10016
Basil Blackwell | | Cambridge, MA |
Baylor University Press | P.O. Box 97363 | Waco, TX | 76798
Beacon Press | 25 Beacon Street | Boston, MA | 02108
Berg Publishers | 13950 Park Center Road | Herndon, VA | 22071
Berghahn Books | 604 West 115th Street | New York, NY | 10025
Bergin & Garvey Greenwood Publishing Group, | 88 Post Road West | Westport, CT | 06881
Biblical Archaeology Society | 4710 41st St. NW | Washington, DC | 20016
Blackwell Publishing | Commerce Place, 350 Main Street | Malden, MA | 02148, USA
Blackwell Publishing Inc. | Commerce Place, 350 Main Street | Malden, MA | 02148 USA
Bloomsbury | 175 Fifth Avenue, Suite 300 | New York, NY | 10010
Bolchazy-Carducci Publishers | 1570 Baskin Road | Mundelein, IL | 60060 USA 
Bolchazy-Carducci Publishers, Inc. | 1570 Baskin Road | Mundelein, IL | 60060 USA 
Boydell Press | P.O. Box 41026 | Rochester, NY | 14604-4126
Bradford Books/MIT Press | | Cambridge, MA |
Brazos Press | P.O. Box 6287 | Grand Rapids, MI | 49516
Brill Academic Publishers | 112 Water Street, Suite 400 | Boston, MA | 02189
British Film Institute | 21 Stephen Street | London, UK | W1T 1LN
Broadway Books | 1745 Broadway | New York, NY | 10019
Brookings Institution | | Washington, DC |
Brookings Institution Press | | Washington, D.C. |
Brookings Institution Press | 1775 Massachusetts Avenue, N.W. | Washington, DC | 20036
Bucknell University Press Associated University Presses | 440 Forsgate Drive | Cranbury, NJ | 08512
C.D. Howe Institute | | Toronto |
Cambridge Scholars Publishing | 12 Back Chapman Street | Newcastle upon Tyne, UK | NE6 2XX
Cambridge University Press | | Cambridge, UK |
Cambridge University Press | 32 Avenue of the Americas | New York, NY | 10013
Camden House Drawer | 2025 | Columbia, SC | 29202
Carnegie Endowment for International Peace | 1779 Massachusetts Avenue N.W. | Washington, DC | 20036
Carolina Academic Press | 700 Kent Street | Durham, NC | 27701
Catholic University of America Press | 620 Michigan Avenue, N.E. | Washington, DC | 20064
Center for Japanese Studies University of Michigan | 1080 S. University Avenue, Suite 3603 | Ann Arbor, MI | 48109
Central European University Press | 400 West 59th Street | New York, NY | 10019
Chemical Heritage Foundation | 315 Chestnut Street | Phildelphia, PA | 19106
Chilton Co. | | Philadelphia, PA |
Clarendon Press | | Oxford |
CLSI Publications | Ventura Hall, Stanford University | Stanford, CA | 94305
Cold Spring Harbor Laboratory Press | 500 Sunnyside Boulevard | Woodbury, NY | 11797
Columbia University Press | 61 West 62nd Street, Third Floor | New York, NY | 10023
Congressional Quarterly Press | 1414 22nd Street, N.W. | Washington, DC | 20037
Continuum | 80 Maiden Lane, Suite 704 | New York, NY | 10038
Cooper Square Press | 150 Fifth Avenue, Suite 911 | New York, NY | 10011
Cork University Press | Youngline Industrial Estate, Pouladuff Road, Togher | Cork, Ireland |
Cork University Press/Attic Press | Youngline Industrial Estate, Pouladuff Road, Togher | Cork, Ireland |
Cornell University East Asia Program | 140 Uris Hall | Ithaca, NY | 14853
Cornell University Press Sage House | 512 East State Street | Ithaca, NY | 14850
Cornwall Books | 440 Forsgate Drive | Cranbury, NJ | 08512
Counterpoint Press | 387 Park Avenue South | New York, NY | 10016
D.S. Brewer | P. O. Box 41026 | Rochester, NY | 14604
Da Capo Press | 11 Cambridge Center | Cambridge, MA | 02142
Dalkey Archive Press | ISU Campus Box 4241 | Normal, IL | 61790
Dekker | | New York |
Doubleday | | New York, NY |
Doubleday | 1745 Broadway | New York, NY | 10019
Duckworth Publishing | International Publishers Marketing, 22883 Quicksilver Drive | Sterling, VA | 20166
Duke University Press | | Durham, NC |
Duke University Press | P.O. Box 90660 | Durham, NC | 27708
Dumbarton Oaks | 1703 32nd Street, NW | Washington, DC | 20007
Duquesne University Press | 600 Forbes Avenue | Pittsburgh, PA | 15282
Earthscan Publications | 8-12 Camden High Street | London, UK | NW1 OJH, UK
East European Monographs | c/o Columbia University Press, 61 West 62nd Street | New York, NY | 10023
Edinburgh University Press | 22 George Square, Edinburgh EH 8 | Edinburgh, Scotland |
Edward Arnold Ltd. | | London |
Edward Elgar | | Aldershot, UK |
Edward Elgar Publishing | 136 West Stree, Suite 202 | Northampton, MA | 01060
Eisenbrauns | P.O. Box 275 | Winona Lake, IN | 46590
Elsevier Science Publishers B.V. | | Amsterdam |
ELT Press | Department of English, University of North Carolina, P.O. Box 26170 | Greensboro, NC | 27412
Encounter Books | 900 Broadway, Suite 400 | New York, NY | 10003
Faber & Faber | 19 Union Square West | New York, NY | 10003
Fairleigh Dickinson University Press | Associated University Presses, 440 Forsgate Drive | Cranbury, NJ | 08512
Farrar, Straus and Giroux | 19 Union Square West | New York, NY | 10003
Federal Reserve Bank of Minneapolis | | Minneapolis |
Federal Reserve Bank of Richmond | | Richmond |
Feminist Press at the City University of New York | 311 East 94th Street | New York, NY | 10128
Fordham University Press | 2546 Belmont Avenue, University Box L | Bronx, NY | 10458
Fortress Press | 100 South Fifth Street, Box 1209 | Minneapolis, MN | 55402
Franklin Beedle and Associates | | Wilsonville, OR |
Free Press | 1230 Avenue of the Americas | New York, NY | 10020
Galen Press | P.O. Box 64400 | Tucson, AZ | 85728
Gallaudet University Press | 800 Florida Avenue, N.E. | Washington, DC | 20002
Garland Publishing | | New York |
Georgetown University Press | 3700 O Street, N.W. | Washington, DC | 20057
Georgia Museum of Art | 90 Carleton Street | Atlanta, GA | 30602
Getty Research Institute | 1200 Getty Center Drive, Suite 500 | Los Angeles, CA | 90049
Graphics Press | | Cheshire, CT |
Greenwood Press | Greenwood Publishing Group, 88 Post Road West | Westport, CT | 06881
Guilford Press | 72 Spring Street | New York, NY | 10012
Hambledon and London | 102 Gloucester Avenue | London, UK | NW1 8HX
Harcourt | 15 East 26th Street | New York, NY | 10010
Harcourt Brace Jovanovich | | New York. |
Harper and Row | | New York |
HarperCollins | 10 East 53rd Street | New York, NY | 10022
HarperOne | 353 Sacremento Street, Suite 500 | San Francisco, CA | 94111
Harvard Education Publishing Group | 8 Story Street, First Floor | Cambridge, MA | 02138
Harvard University Press | | Cambridge, MA |
Harvard University Press | 79 Garden Street | Cambridge, MA | 02138
Harwood Academic Publishers | | Chur, Switzerland |
Haworth Press | 10 Alice Street | Binghamton, NY | 13904
Hebrew Union College Press | 3101 Clifton Avenue | Cincinnati, OH | 45220
Heinemann Greenwood Publishing Group | 88 Post Road West | Westport, CT | 06881
Henry Holt | 115 West 18th Street | New York, NY | 10011
Heyday Books | P.O. Box 9145 | Berkeley, CA | 94709
Hill & Wang | 19 Union Square West | New York, NY | 10003
Hogarth Press | | London |
Holden-Day | | San Francisco |
Holmes & Meier | 160 Broadway, East Building | New York, NY | 10038
Hong Kong University Press | 7 Tin Wan Praya Road | Aberdeen, Hong Kong |
Houghton Mifflin | 222 Berkeley Street | Boston, MA | 02116
Humanity Books | 59 John Glenn Drive | Amherst, NY | 14228
I.B.Tauris & Co Ltd | 6 Salem Road | London, UK | W2 4BU
Indiana University Press | 601 North Morton Street | Bloomington, IN | 47404
Institute for International Economics | | Washington, DC |
Interlink Publishing | 46 Crosby Street | Northampton, MA | 01060
Iowa State University Press | 2121 South State Avenue | Ames, IA | 50010
Irish Academic Press | c/o ISBS, 5824 NE Hassalo Street | Portland, OR | 97213
Island Press | 1718 Connecticut Avenue, N.W., Suite 300 | Washington, DC | 20009
Ivan R. Dee | 1332 North Halsted Street | Chicago, IL | 60642
Ivan R. Dee, Publisher | 1332 North Halsted Street | Chicago, IL | 60642
J. Stockdale | | London |
JAI Press Inc. | | Greenwich, CT |
Japanese Center for International Exchange | Minami Azabu 4-9-17, Minato-ku | Tokyo, Japan | 106-0047
John Wiley & Sons Inc | Commerce Place, 350 Main Street | Malden, MA | 02148 USA
John Wiley & Sons | Commerce Place, 350 Main Street | Malden, MA | 02148 USA
